Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min,model,split,month,Activity,Num Annotations,Day_Night,SunPos_azimuth,SunPos_zenith,Hour,Weekday,Weekday_name,Timeslot,Timeslot_name,precision,recall,accuracy,f1_score
20200830,clip_33_1500,115,30/08/2020 15:00,19,63,0,11.8,312,2.8,474,10,YOLOv5,feb_month,jan_apr_aug,0.002869087,2,day,243.8934974,64.08442908,15,6,Sunday,6,Late Afternoon,,0,0,0
20200831,clip_16_0724,110,31/08/2020 07:24,13.4,89,0,11.7,46,1,362,10,YOLOv5,feb_month,jan_apr_aug,0.008239649,3,day,112.17232,66.43921744,7,0,Monday,3,Early Morning,1,1,1,1
20200831,clip_35_1538,115,31/08/2020 15:38,18.8,41,0,5.1,337,2.4,373,10,YOLOv5,feb_month,jan_apr_aug,0.00232907,6,day,252.5654517,69.23021605,15,0,Monday,6,Late Afternoon,0,0,0,0
20200831,clip_53_2348,115,31/08/2020 23:48,6,96,0,5.5,0,0,0,0,YOLOv5,feb_month,jan_apr_aug,0.004602113,5,night,7.531047399,114.516421,23,0,Monday,8,Late Evening,,0,0,0
20210108,clip_0_1158,5,08/01/2021 11:58,0,92,0,-1.2,13,2.5,39,0,YOLOv5,feb_month,jan_apr_aug,0.004698634,8,day,187.2740031,79.4032237,11,4,Friday,4,Late Morning,0.555555556,0.625,0.416666667,0.588235294
20210108,clip_19_2231,115,08/01/2021 22:31,-0.1,94,0,-0.9,9,2.8,0,0,YOLOv5,feb_month,jan_apr_aug,0.001382435,3,night,337.7077214,143.5758839,22,4,Friday,8,Late Evening,0.75,1,0.75,0.857142857
20210108,clip_22_2355,115,08/01/2021 23:55,0.1,94,0,-0.7,17,2.2,0,0,YOLOv5,feb_month,jan_apr_aug,0.003873414,4,night,11.14015206,144.6868191,23,4,Friday,8,Late Evening,0,0,0,0
20210108,clip_6_1627,115,08/01/2021 16:27,0.1,90,0,-1.4,20,2.9,0,0,YOLOv5,feb_month,jan_apr_aug,0.008344503,9,night,245.5464829,100.6947467,16,4,Friday,6,Late Afternoon,0.571428571,0.888888889,0.533333333,0.695652174
20210109,clip_0_0000,5,09/01/2021 00:00,0.1,94,0,-0.8,14,2.4,0,0,YOLOv5,feb_month,jan_apr_aug,0.001425483,3,night,13.12423896,144.5434783,0,5,Saturday,1,Early Post-Midnight,,0,0,0
20210109,clip_16_0707,83,09/01/2021 07:07,0.4,96,0,-0.2,4,1.7,0,0,YOLOv5,feb_month,jan_apr_aug,0.001544841,5,night,122.3070683,95.91079896,7,5,Saturday,3,Early Morning,1,1,1,1
20210109,clip_29_1311,115,09/01/2021 13:11,1.5,96,0,0.8,226,0.4,163,10,YOLOv5,feb_month,jan_apr_aug,0.010927076,25,day,204.1054467,81.89839629,13,5,Saturday,5,Early Afternoon,0.571428571,0.64,0.432432432,0.603773585
20210109,clip_34_1620,103,09/01/2021 16:20,0.4,93,0,-0.6,215,1.8,0,0,YOLOv5,feb_month,jan_apr_aug,0.009800766,11,night,244.1454176,99.66169809,16,5,Saturday,6,Late Afternoon,0.5625,0.818181818,0.5,0.666666667
